Rest_name,Rest_ratings,Rest_noreviews,Rest_price,Rest_cuisine,Rest_add,Rest_tel,Rest_nbh,Rating,Price,Cuisine,Street_add,neighbourhood_,neighbourhood,neighbourhood_good
Panera Bread,3 star rating,82,$$,American (Traditional),3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
Pai Northern Thai Kitchen,4.5 star rating,2862,$$,Thai,18 Duncan Street,(416) 901-4724,Entertainment District,4.5,2,Asian,Duncan Street,,Entertainment District,Entertainment District
Beefing with 7,4.5 star rating,17,None,Hong Kong Style Cafe,4907 Yonge St,4907 Yonge St,Willowdale,4.5,0,Asian,Yonge St,,Willowdale,Willowdale
Mira,4.5 star rating,218,$$,Peruvian,420A Wellington Street W,(647) 951-3331,,4.5,2,European,Wellington Street W,Entertainment District,1,Entertainment District
Richmond Station,4.5 star rating,764,$$$,Canadian (New),1 Richmond Street W,(647) 748-1444,Downtown Core,4.5,3,American,Richmond Street W,,Downtown Core,Downtown Core
Gusto 101,4 star rating,971,$$,Italian,101 Portland Street,(416) 504-9669,,4.0,2,European,Portland Street,Entertainment District,1,Entertainment District
Khao San Road,4 star rating,1549,$$,Thai,11 Charlotte Street,(647) 352-5773,Entertainment District,4.0,2,Asian,Charlotte Street,,Entertainment District,Entertainment District
KINKA IZAKAYA ORIGINAL,4 star rating,1606,$$,Japanese,398 Church Street,(416) 977-0999,Downtown Core,4.0,2,Asian,Church Street,,Downtown Core,Downtown Core
Sabai Sabai Kitchen and Bar,4 star rating,378,$$,Laotian,81 Bloor Street E,(647) 748-4225,Church-Wellesley Village,4.0,2,Asian,Bloor Street E,,Church-Wellesley Village,Church-Wellesley Village
Byblos,4.5 star rating,787,$$$,Mediterranean,11 Duncan Street,(647) 660-0909,Entertainment District,4.5,3,Middle Eastern,Duncan Street,,Entertainment District,Entertainment District
Uncle Ray’s Food & Liquor,5 star rating,13,None,Barbeque,9 Church Street,(647) 349-7297,St. Lawrence,5.0,0,American,Church Street,,St. Lawrence,St. Lawrence
Tinuno,4 star rating,554,$$,Filipino,31 Howard Street,(647) 343-9294,,4.0,2,Asian,Howard Street,,1,
Sabai Sabai Kitchen and Bar,4 star rating,280,$$,Thai,225 Church Street,(647) 748-4225,Downtown Core,4.0,2,Asian,Church Street,,Downtown Core,Downtown Core
Juicy Dumpling,4 star rating,472,$,Dim Sum,280 Spadina Ave,(647) 352-5678,Chinatown,4.0,1,Asian,Spadina Ave,,Chinatown,Chinatown
Seven Lives Tacos y Mariscos,4.5 star rating,1300,$,Mexican,69 Kensington Avenue,(416) 393-4636,Kensington Market,4.5,1,Mexican,Kensington Avenue,,Kensington Market,Kensington Market
Chubby’s Jamaican Kitchen,4 star rating,243,$$,Caribbean,104 Portland Street,(416) 792-8105,,4.0,2,Carribean,Portland Street,Entertainment District,1,Entertainment District
Mabu Generation,4.5 star rating,16,$$,Taiwanese,575 Yonge Street,(416) 901-8183,Downtown Core,4.5,2,Asian,Yonge Street,,Downtown Core,Downtown Core
The Elm Tree Restaurant,4.5 star rating,267,$$,Mediterranean,43 Elm Street,(416) 901-7339,Downtown Core,4.5,2,Middle Eastern,Elm Street,,Downtown Core,Downtown Core
Katsuya,4.5 star rating,403,$$,Japanese,66 Gerrard Street E,(416) 591-7756,Downtown Core,4.5,2,Asian,Gerrard Street E,,Downtown Core,Downtown Core
Descendant Detroit Style Pizza,4.5 star rating,325,$$,Pizza,1168 Queen Street E,(647) 347-1168,Leslieville,4.5,2,American,Queen Street E,,Leslieville,Leslieville
Boukan,4.5 star rating,3,None,Burgers,452 Kingston Road,(416) 686-1880,Upper Beach,4.5,0,American,Kingston Road,,Upper Beach,Upper Beach
PŌPA,4 star rating,24,$$$,Burmese,2901 Bayview Avenue,(647) 343-8555,Bayview Village,4.0,3,Asian,Bayview Avenue,,Bayview Village,Bayview Village
Rasa,4.5 star rating,260,$$,Canadian (New),196 Robert Street,(647) 350-8221,,4.5,2,American,Robert Street,,1,
Jacobs & Co. Steakhouse,4.5 star rating,544,$$$$,Steakhouses,12 Brant Street,(416) 366-0200,,4.5,4,American,Brant Street,,1,
New Orleans Seafood & Steakhouse,4.5 star rating,132,$$$,Seafood,267 Scarlett Road,(416) 766-7001,,4.5,3,American,Scarlett Road,,1,
Loch & Quay,4 star rating,62,$$,Canadian (New),390 Queens Quay W,(416) 595-5444,Harbourfront,4.0,2,American,Queens Quay W,,Harbourfront,Harbourfront
Otto’s Bierhalle,4 star rating,173,$$,German,1087 Queen Street W,(416) 901-5472,West Queen West,4.0,2,European,Queen Street W,,West Queen West,West Queen West
Smoque N’ Bones,4 star rating,373,$$,Barbeque,869 Queen Street W,(647) 341-5730,Niagara,4.0,2,American,Queen Street W,,Niagara,Niagara
GB Hand-pulled Noodles,4 star rating,527,$$,Chinese,66 Edward Street,(647) 872-1336,Downtown Core,4.0,2,Asian,Edward Street,,Downtown Core,Downtown Core
Agio,4.5 star rating,171,$$,Italian,1351 St Clair Avenue W,(647) 348-4814,,4.5,2,European,St Clair Avenue W,Corso Italia,1,Corso Italia
The Oxley,4 star rating,139,$$,Gastropubs,121 Yorkville Avenue,(647) 348-1300,Yorkville,4.0,2,American,Yorkville Avenue,,Yorkville,Yorkville
Panera Bread,3 star rating,82,$$,American (Traditional),3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
Loch & Quay,4 star rating,62,$$,Canadian (New),390 Queens Quay W,(416) 595-5444,Harbourfront,4.0,2,American,Queens Quay W,,Harbourfront,Harbourfront
Lamesa Filipino Kitchen,4 star rating,349,$$,Filipino,634 St Clair Avenue W,(647) 343-1110,,4.0,2,Asian,St Clair Avenue W,Corso Italia,1,Corso Italia
Eataly,3.5 star rating,168,$$,Italian,55 Bloor Street W,(437) 374-0250,Yorkville,3.5,2,European,Bloor Street W,,Yorkville,Yorkville
